species,folder_count,folders,image_count,high,medium,low,unreadable,high_pct,medium_pct,low_pct,total_mb,avg_width,avg_height,extensions
银色突吻鳗,1,银色突吻鳗,12,4,0,8,0,33.3,0.0,66.7,48.47,3646.7,1854.3,.jpg:12
锤颌鱼,1,锤颌鱼,12,11,1,0,0,91.7,8.3,0.0,46.7,5058.7,3070,.jpg:12
刀光鱼,1,刀光鱼,11,3,4,4,0,27.3,36.4,36.4,34.44,3258,1776.7,.jpg:7; .bmp:4
单带眶棘鲈,1,单带眶棘鲈,11,11,0,0,0,100.0,0.0,0.0,32.19,4490.2,3219.6,.jpg:11
大樱虾,1,大樱虾,11,11,0,0,0,100.0,0.0,0.0,30.64,3575.3,2683.6,.jpg:11
大眼青眼鱼,1,大眼青眼鱼,11,9,0,2,0,81.8,0.0,18.2,77.97,6679.6,3841.8,.jpg:9; .png:2
太平洋筒眼鱼,1,太平洋筒眼鱼,11,11,0,0,0,100.0,0.0,0.0,60.32,4468.4,3102.5,.jpg:11
密棘角鮟鱇,1,密棘角鮟鱇,11,11,0,0,0,100.0,0.0,0.0,25.36,3645.1,3360,.jpg:11
少鳍方头鲳,1,少鳍方头鲳,11,11,0,0,0,100.0,0.0,0.0,31.01,4293.8,3672.7,.jpg:11
横带眶棘鲈,1,横带眶棘鲈,11,9,0,2,0,81.8,0.0,18.2,80.75,6856.2,3855.4,.jpg:11
燕赤鮨,1,燕赤鮨,11,10,0,1,0,90.9,0.0,9.1,25.13,2423,2630.5,.jpg:11
裸蜥鱼,1,裸蜥鱼,11,11,0,0,0,100.0,0.0,0.0,51.59,5178.2,3543.3,.jpg:11
匀斑裸胸鳝,1,匀斑裸胸鳝,10,10,0,0,0,100.0,0.0,0.0,95.14,7820.8,4321.4,.jpg:10
